                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1976,                 2.7294,                 1.3185,                0.73641,                0.75701,                0.84914,                0.62572,                0.78873,                 1.2052,                 1.0417,                 0.0721,                 0.0031,                 0.0031
                      2,                 1.0081,                 1.2228,                  1.172,                0.93782,                0.92996,                0.95723,                0.79469,                0.66035,                0.57499,                0.92876,                 0.0433,              0.0062996,              0.0062996
                      3,                 0.9194,                 1.1135,                 1.1098,                0.92767,                0.88828,                0.95619,                0.80753,                 0.6037,                 0.8524,                0.90198,               0.014498,              0.0094977,              0.0094977
                      4,                0.94495,                0.99784,                  1.101,                0.92383,                0.94276,                0.95398,                0.80987,                0.64355,                 0.6185,                0.91014,              0.0099945,              0.0099945,              0.0099945
                      5,                0.96826,                0.87264,                 1.0991,                0.96058,                0.93676,                0.95967,                0.78215,                0.69312,                0.61906,                0.94094,              0.0099902,              0.0099902,              0.0099902
                      6,                 1.0067,                0.86485,                 1.0991,                0.81845,                0.86298,                0.90479,                0.70181,                0.79888,                0.99461,                  1.021,              0.0099847,              0.0099847,              0.0099847
                      7,                0.99156,                0.89727,                 1.0999,                0.91525,                0.82322,                0.94138,                0.77284,                0.73434,                0.76943,                0.96288,               0.009978,               0.009978,               0.009978
                      8,                0.98528,                 0.7987,                 1.0909,                0.92052,                0.90644,                0.92957,                0.74724,                0.73666,                0.55065,                0.97433,              0.0099701,              0.0099701,              0.0099701
                      9,                0.97984,                0.80525,                 1.1214,                0.93111,                0.90648,                0.95953,                0.78707,                0.70465,                0.69837,                0.95431,               0.009961,               0.009961,               0.009961
                     10,                 0.9331,                0.77313,                 1.0849,                 0.9663,                0.83115,                0.90599,                0.72692,                0.77047,                0.72651,                0.98045,              0.0099506,              0.0099506,              0.0099506
                     11,                0.93185,                0.78118,                  1.082,                0.93831,                0.97558,                0.97542,                0.81895,                  0.673,                0.58579,                0.93217,              0.0099391,              0.0099391,              0.0099391
                     12,                0.89353,                0.69469,                 1.0711,                0.94025,                0.95929,                0.97082,                0.79828,                0.70829,                 0.4906,                0.94761,              0.0099263,              0.0099263,              0.0099263
                     13,                0.91354,                0.73378,                 1.0688,                0.98106,                0.95314,                0.98021,                0.81106,                0.69912,                0.44059,                0.93985,              0.0099123,              0.0099123,              0.0099123
                     14,                0.88611,                0.65579,                 1.0713,                0.95218,                0.94034,                0.96934,                0.79675,                0.67811,                0.51022,                0.93971,              0.0098972,              0.0098972,              0.0098972
                     15,                0.88359,                0.64537,                 1.0642,                0.95258,                0.94529,                0.96511,                0.79909,                 0.7139,                0.44239,                0.96186,              0.0098808,              0.0098808,              0.0098808
                     16,                0.90878,                0.71703,                 1.0714,                0.94533,                0.96667,                0.98083,                0.83312,                0.62278,                0.45648,                0.90329,              0.0098632,              0.0098632,              0.0098632
                     17,                0.88686,                0.69046,                 1.0718,                0.97976,                0.96667,                0.98335,                0.81262,                0.67947,                0.45312,                0.92989,              0.0098445,              0.0098445,              0.0098445
                     18,                0.88845,                0.62678,                 1.0617,                0.95989,                0.95043,                 0.9712,                0.80425,                0.66518,                0.46349,                0.93137,              0.0098246,              0.0098246,              0.0098246
                     19,                0.87097,                 0.5906,                 1.0522,                0.97965,                0.97124,                0.97367,                 0.8399,                0.62421,                0.44967,                 0.9086,              0.0098035,              0.0098035,              0.0098035
                     20,                0.83817,                0.61248,                 1.0249,                 0.9496,                0.97333,                  0.982,                0.84471,                0.61194,                0.38394,                0.90221,              0.0097812,              0.0097812,              0.0097812
                     21,                0.82179,                0.61347,                  1.031,                0.99586,                0.95655,                0.98089,                0.84265,                0.59022,                0.36601,                0.89175,              0.0097577,              0.0097577,              0.0097577
                     22,                0.83172,                0.59938,                 1.0517,                 0.9741,                0.96593,                0.98056,                 0.8319,                0.64424,                0.40388,                0.92628,              0.0097331,              0.0097331,              0.0097331
                     23,                0.82163,                0.57442,                 1.0321,                0.94991,                0.97022,                0.98293,                 0.8369,                0.64674,                 0.4129,                0.91718,              0.0097074,              0.0097074,              0.0097074
                     24,                0.81926,                0.56784,                 1.0349,                0.99728,                   0.96,                0.98022,                0.84246,                0.63112,                0.33584,                0.91879,              0.0096804,              0.0096804,              0.0096804
                     25,                0.80754,                0.56191,                 1.0283,                0.96823,                  0.957,                0.98128,                0.84095,                0.65133,                0.45383,                0.92775,              0.0096524,              0.0096524,              0.0096524
                     26,                 0.8185,                0.58169,                 1.0453,                0.97644,                0.95333,                0.97422,                0.84163,                0.61413,                0.39106,                0.91107,              0.0096232,              0.0096232,              0.0096232
                     27,                0.81721,                0.57073,                 1.0421,                0.99537,                   0.94,                0.97339,                0.83704,                0.64267,                0.37287,                0.92037,              0.0095929,              0.0095929,              0.0095929
                     28,                0.78493,                0.55455,                 1.0155,                0.98609,                0.93104,                0.98001,                0.84395,                0.59617,                0.39174,                0.90047,              0.0095614,              0.0095614,              0.0095614
                     29,                 0.7772,                0.55472,                 1.0119,                0.94951,                0.97309,                0.97452,                0.84484,                0.61568,                0.40287,                0.89855,              0.0095289,              0.0095289,              0.0095289
                     30,                 0.7894,                0.55147,                 1.0072,                0.99222,                 0.9624,                0.97449,                0.84353,                0.61841,                 0.3514,                0.91062,              0.0094952,              0.0094952,              0.0094952
                     31,                0.78681,                  0.568,                 1.0238,                0.95123,                0.97324,                0.98171,                0.85042,                0.58936,                0.39981,                0.88977,              0.0094605,              0.0094605,              0.0094605
                     32,                0.78707,                0.54652,                 1.0122,                0.98999,                0.96841,                0.98386,                0.86016,                0.60839,                0.35746,                0.89001,              0.0094246,              0.0094246,              0.0094246
                     33,                0.77404,                0.53294,                  1.016,                0.98921,                0.93929,                0.96852,                0.84681,                0.58956,                0.38552,                0.88654,              0.0093877,              0.0093877,              0.0093877
                     34,                0.76585,                0.54634,                 1.0085,                0.96705,                0.92143,                0.95963,                0.81552,                0.60104,                0.48343,                0.90065,              0.0093497,              0.0093497,              0.0093497
                     35,                0.80614,                0.55596,                 1.0294,                0.98565,                   0.96,                0.98428,                0.84122,                0.62339,                0.38268,                0.89957,              0.0093107,              0.0093107,              0.0093107
                     36,                0.74799,                0.52698,                0.99491,                0.99619,                0.97857,                0.98502,                0.83684,                0.59685,                0.34794,                0.88993,              0.0092706,              0.0092706,              0.0092706
                     37,                0.75769,                 0.5109,                 0.9994,                0.96447,                0.97992,                0.98248,                0.85475,                0.58005,                 0.3534,                0.88705,              0.0092294,              0.0092294,              0.0092294
                     38,                0.76031,                0.50677,                 1.0138,                0.99618,                0.96169,                0.97934,                0.84314,                 0.6077,                0.35688,                0.90806,              0.0091872,              0.0091872,              0.0091872
                     39,                0.75438,                0.51594,                 1.0152,                0.97302,                   0.96,                0.97451,                0.81997,                0.61552,                 0.3429,                 0.9124,               0.009144,               0.009144,               0.009144
                     40,                0.76141,                0.52149,                 1.0146,                0.99698,                0.96667,                0.97709,                0.84863,                 0.5956,                0.33559,                0.90091,              0.0090998,              0.0090998,              0.0090998
                     41,                0.73942,                 0.4848,                0.99646,                0.96173,                0.93713,                0.97238,                0.83644,                0.60798,                0.33177,                0.90688,              0.0090546,              0.0090546,              0.0090546
                     42,                0.72522,                0.48759,                0.97882,                0.99182,                   0.96,                0.98189,                0.85687,                 0.5851,                0.30639,                0.88595,              0.0090084,              0.0090084,              0.0090084
                     43,                0.71559,                0.48091,                0.98223,                0.98985,                0.95609,                0.98527,                0.86239,                0.55332,                0.31953,                0.88326,              0.0089613,              0.0089613,              0.0089613
                     44,                0.73399,                0.49418,                 1.0042,                0.99698,                   0.96,                0.97598,                0.86457,                0.53781,                0.30776,                0.87262,              0.0089131,              0.0089131,              0.0089131
                     45,                0.72517,                0.49168,                0.98642,                0.98115,                0.95868,                0.97618,                0.86492,                0.52191,                0.32076,                0.86064,               0.008864,               0.008864,               0.008864
                     46,                0.73834,                0.48053,                0.98762,                 0.9674,                   0.98,                0.98544,                0.87567,                0.55585,                0.33665,                0.86581,               0.008814,               0.008814,               0.008814
                     47,                0.70938,                 0.4742,                0.99176,                  0.995,                0.97741,                0.98542,                0.86966,                0.52847,                0.30298,                0.86614,               0.008763,               0.008763,               0.008763
                     48,                0.69711,                0.46654,                0.97902,                 0.9796,                   0.98,                0.98467,                0.86242,                0.55128,                0.34122,                0.87861,              0.0087112,              0.0087112,              0.0087112
                     49,                0.71473,                 0.4677,                0.98432,                0.98396,                0.98444,                  0.985,                 0.8736,                0.54301,                 0.3128,                0.87879,              0.0086584,              0.0086584,              0.0086584
                     50,                0.71462,                0.45544,                0.99456,                0.97992,                0.97333,                0.97788,                0.86146,                 0.5549,                0.32461,                0.87299,              0.0086047,              0.0086047,              0.0086047
                     51,                0.68323,                0.45441,                0.97294,                0.98395,                0.98523,                0.98983,                0.87921,                0.51869,                0.29422,                0.85194,              0.0085502,              0.0085502,              0.0085502
                     52,                0.65958,                0.46255,                0.96468,                0.98238,                   0.98,                 0.9879,                0.86084,                0.56517,                0.30822,                0.87177,              0.0084948,              0.0084948,              0.0084948
                     53,                0.70922,                 0.4779,                0.98222,                0.98295,                0.97856,                0.98544,                0.86987,                 0.5278,                0.30248,                0.87354,              0.0084385,              0.0084385,              0.0084385
                     54,                 0.7087,                0.48306,                0.98505,                0.94617,                0.96667,                0.97304,                0.84827,                 0.5875,                0.37878,                0.89355,              0.0083814,              0.0083814,              0.0083814
                     55,                0.71949,                0.48888,                0.99839,                0.99161,                0.97183,                0.98588,                0.87377,                0.52217,                0.31525,                0.87253,              0.0083235,              0.0083235,              0.0083235
                     56,                0.69214,                0.47247,                0.98383,                0.98437,                0.96596,                0.98817,                0.86185,                0.57492,                 0.3281,                0.88108,              0.0082648,              0.0082648,              0.0082648
                     57,                0.67098,                0.45656,                0.96792,                0.96574,                   0.98,                0.98632,                0.85854,                0.55277,                0.30469,                0.87306,              0.0082052,              0.0082052,              0.0082052
                     58,                0.68752,                0.44411,                0.97692,                0.98422,                   0.98,                0.98593,                0.86754,                0.54239,                0.28373,                0.87968,               0.008145,               0.008145,               0.008145
                     59,                0.65252,                0.43268,                0.96118,                0.99654,                0.96667,                0.99015,                0.88353,                0.54179,                0.29866,                 0.8712,              0.0080839,              0.0080839,              0.0080839
                     60,                0.65206,                0.43861,                0.94967,                0.99259,                0.96667,                0.98467,                 0.8883,                0.49793,                0.27699,                0.85246,              0.0080221,              0.0080221,              0.0080221
                     61,                0.67105,                0.44926,                0.96073,                0.97507,                0.98244,                0.98789,                0.88887,                0.49857,                0.30836,                0.85333,              0.0079595,              0.0079595,              0.0079595
                     62,                0.66354,                0.44741,                0.96028,                0.97989,                0.98455,                0.99067,                0.87727,                0.54141,                0.28707,                0.86549,              0.0078963,              0.0078963,              0.0078963
                     63,                0.67225,                0.44081,                0.96812,                0.98622,                   0.98,                0.98739,                0.87331,                0.53639,                0.28601,                0.87361,              0.0078323,              0.0078323,              0.0078323
                     64,                0.67628,                0.43022,                0.96347,                0.99748,                   0.98,                0.98768,                0.88099,                0.51699,                0.27101,                0.87009,              0.0077677,              0.0077677,              0.0077677
                     65,                0.65302,                0.42211,                 0.9587,                0.99585,                0.98549,                0.98746,                0.88097,                0.50801,                0.27582,                0.86125,              0.0077023,              0.0077023,              0.0077023
                     66,                 0.6513,                0.42576,                0.95072,                0.98207,                   0.98,                0.98594,                0.87061,                 0.5327,                0.31814,                0.86733,              0.0076364,              0.0076364,              0.0076364
                     67,                0.66489,                0.42894,                0.95631,                0.98532,                   0.98,                 0.9877,                0.87945,                 0.5279,                0.27264,                0.87218,              0.0075698,              0.0075698,              0.0075698
                     68,                0.64328,                0.41582,                0.94828,                0.98512,                0.98597,                0.98043,                0.87703,                0.54143,                0.29619,                0.87433,              0.0075025,              0.0075025,              0.0075025
                     69,                0.61774,                 0.4077,                0.94409,                0.99263,                0.97762,                0.97635,                0.87915,                 0.5303,                0.28929,                0.87255,              0.0074347,              0.0074347,              0.0074347
                     70,                0.63512,                0.41014,                0.95029,                0.99079,                0.97833,                0.98351,                0.87147,                0.55003,                0.29101,                0.87632,              0.0073663,              0.0073663,              0.0073663
                     71,                0.63509,                0.40117,                0.94219,                 0.9793,                0.96667,                0.97625,                0.88697,                0.50635,                 0.3138,                0.86866,              0.0072973,              0.0072973,              0.0072973
                     72,                0.63155,                  0.409,                0.94405,                0.98233,                0.97778,                0.98002,                0.87843,                0.51708,                0.27363,                 0.8812,              0.0072277,              0.0072277,              0.0072277
                     73,                0.61732,                0.40001,                0.93699,                0.98556,                0.97271,                0.97878,                0.87003,                 0.5528,                0.30431,                0.88509,              0.0071576,              0.0071576,              0.0071576
                     74,                0.63987,                0.42093,                0.95861,                 0.9825,                0.97333,                 0.9855,                0.88204,                0.50985,                0.26963,                0.87057,               0.007087,               0.007087,               0.007087
                     75,                0.64511,                0.42648,                 0.9444,                0.98738,                0.98667,                0.98744,                0.89107,                0.50862,                0.25645,                0.86759,              0.0070159,              0.0070159,              0.0070159
                     76,                0.61079,                0.39808,                0.92406,                0.99141,                0.98098,                0.98731,                  0.878,                0.51669,                 0.2556,                0.86534,              0.0069443,              0.0069443,              0.0069443
                     77,                0.62149,                0.39007,                0.94705,                0.98728,                   0.98,                0.98786,                0.88842,                0.50831,                0.26509,                0.86091,              0.0068722,              0.0068722,              0.0068722
                     78,                0.63285,                0.39757,                 0.9265,                0.99534,                0.96667,                  0.986,                   0.89,                0.48904,                0.25521,                0.86045,              0.0067997,              0.0067997,              0.0067997
                     79,                 0.6069,                0.38659,                0.94199,                0.98908,                   0.98,                0.98688,                0.88465,                0.52636,                0.26879,                0.87195,              0.0067268,              0.0067268,              0.0067268
                     80,                0.62551,                0.38576,                0.93521,                0.98863,                   0.98,                0.98329,                0.88217,                0.53709,                0.26492,                0.88312,              0.0066534,              0.0066534,              0.0066534
                     81,                0.61353,                0.39003,                 0.9353,                0.98978,                   0.98,                0.98722,                0.89151,                0.54461,                0.26394,                 0.8871,              0.0065796,              0.0065796,              0.0065796
                     82,                0.60239,                0.37798,                0.93677,                0.99045,                0.97774,                0.98648,                0.89564,                0.53372,                0.26859,                0.88124,              0.0065055,              0.0065055,              0.0065055
                     83,                0.59791,                0.39571,                0.92545,                0.97648,                0.98529,                0.98994,                0.88312,                0.54034,                0.25768,                0.87537,               0.006431,               0.006431,               0.006431
                     84,                0.59768,                0.37953,                0.92601,                 0.9911,                   0.98,                 0.9848,                0.89521,                0.54131,                0.27322,                0.87265,              0.0063562,              0.0063562,              0.0063562
                     85,                0.59867,                0.38137,                0.92731,                0.99097,                0.97333,                0.98782,                0.89283,                 0.5259,                0.25426,                0.87648,               0.006281,               0.006281,               0.006281
                     86,                0.62929,                0.40341,                0.95595,                0.98884,                0.97333,                0.98463,                0.89842,                0.52041,                0.24854,                0.86978,              0.0062056,              0.0062056,              0.0062056
                     87,                0.60144,                 0.3789,                0.93364,                0.98731,                   0.98,                0.98394,                0.89053,                 0.5174,                0.25231,                 0.8653,              0.0061298,              0.0061298,              0.0061298
                     88,                0.59462,                0.38382,                0.92575,                0.99119,                0.97333,                0.98039,                0.89534,                0.52384,                0.25051,                0.86141,              0.0060538,              0.0060538,              0.0060538
                     89,                0.57166,                0.36784,                0.90824,                0.97648,                0.97231,                 0.9827,                0.89567,                0.50346,                0.26768,                0.86397,              0.0059775,              0.0059775,              0.0059775
                     90,                0.59159,                0.38024,                0.92271,                 0.9865,                0.97858,                0.98595,                0.90136,                0.50265,                0.24888,                0.86075,               0.005901,               0.005901,               0.005901
                     91,                0.60542,                0.38881,                 0.9297,                0.98698,                0.96667,                0.98672,                0.89537,                0.48393,                 0.2466,                0.85772,              0.0058244,              0.0058244,              0.0058244
                     92,                0.59034,                0.37825,                0.92517,                 0.9916,                0.96483,                0.98649,                0.90521,                 0.4999,                 0.2556,                0.86125,              0.0057475,              0.0057475,              0.0057475
                     93,                 0.5855,                0.37966,                 0.9236,                0.97898,                0.97886,                0.98511,                0.90253,                0.49001,                0.24639,                0.85439,              0.0056704,              0.0056704,              0.0056704
                     94,                0.57197,                0.37229,                0.91685,                0.98173,                   0.98,                0.98796,                0.89538,                0.49904,                0.24935,                0.86538,              0.0055932,              0.0055932,              0.0055932
                     95,                 0.5755,                 0.3583,                0.91033,                0.99455,                   0.96,                0.98589,                0.90094,                0.50088,                0.24584,                0.87339,              0.0055158,              0.0055158,              0.0055158
                     96,                0.59377,                0.37224,                0.92696,                0.99114,                0.97333,                0.98471,                0.88979,                0.51403,                 0.2493,                0.86535,              0.0054384,              0.0054384,              0.0054384
                     97,                0.59824,                 0.3823,                0.93295,                0.98829,                0.96607,                0.98505,                 0.9052,                0.48933,                0.24201,                 0.8498,              0.0053608,              0.0053608,              0.0053608
                     98,                0.56624,                 0.3492,                0.91329,                0.99221,                0.96667,                0.98745,                 0.9146,                0.46643,                0.23955,                0.84406,              0.0052832,              0.0052832,              0.0052832
                     99,                0.57405,                0.35663,                 0.9128,                0.99702,                0.96667,                0.98558,                0.90537,                0.47593,                0.24713,                0.84774,              0.0052055,              0.0052055,              0.0052055
